Entry,CoreID,Drive,DepthDrive,SedDepth,AgeLo,AgeMed,AgeHi,Li,Be,B,Na,Mg,Al,Si,P,K,K_NoNeg,Ca,Sc,Ti,V,Cr,Mn,Fe,Fe_1,Co,Ni,Cu,Zn,Ge,As,As_1,Se,Se_2,Se_1,Rb,Sr,Zr,Mo,Ag,Cd,In,Sn,Sb,Cs,Ba,La,Ce,W,Tl,Pb,Bi,U
678,NA,D5,NA,66.8,521,788,1151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
679,NA,D5,NA,67.4,525,798,1157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,LL-M262,S,69,68,532,805,1161,-92.28685583,NA,5.195336627,14.63153679,7.444729717,2.930140758,2.532985563,4.843268909,-3.154711847,NA,2.582873965,7.141985735,3.49815806,22.35406719,3.226705824,3.327867165,7.919456596,7.352047262,6.584515261,4.92910684,7.577840695,3.028473493,NA,4.683238512,1.333123091,0.360593282,1.229283494,-0.925627895,3.368670155,2.902732361,3.092312268,4.288325195,7.68471267,1.97998452,0.97154307,1.292992088,1.075029227,2.436957248,2.205759031,3.807644108,3.741885038,15.20933914,NA,1,0.494156673,9.301580574
680,NA,D5,NA,68.6,541,813,1167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
681,NA,D5,NA,69.2,546,821,1174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,LL-M263,S,70,69.5,547,824,1176,15.30811821,NA,5.244284938,6.370560396,7.756517542,3.085384675,3.097320775,5.965779549,-22.58014238,NA,2.717769001,7.695133753,5.126814954,13.96506605,3.993721788,3.320868883,7.892105254,7.518951149,11.59181096,6.797695269,8.56736736,3.171976544,NA,8.079368103,1.501279343,-10.3856026,5.055584481,2.504640185,3.350978651,3.084751881,5.730028205,15.70624517,-5.257131637,2.068753717,1.292851014,1.227403738,4.271815153,2.72473562,2.327963377,4.079431484,4.131916488,-20.83881035,NA,1,0.520082841,12.11508956
682,NA,D5,NA,69.8,550,828,1180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
683,NA,D5,NA,70.4,555,836,1187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
523,NA,S,NA,70.5,556,837,1188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
684,NA,D5,NA,71,564,844,1192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,LL-M264,S,72,71.5,571,850,1199,42.92855547,NA,5.219600562,7.074963136,7.846996538,3.182208633,2.80365266,5.357944719,-6.641714872,NA,2.878814921,8.172007551,3.855946876,19.60568737,3.14954442,3.727881105,8.052303832,7.530502772,6.623201482,5.121230687,7.952914538,3.263096989,NA,6.379763403,2.125488973,0.428782396,1.129464752,-3.234611763,3.262556456,3.100519307,3.669303558,4.516945687,-20.15115214,2.125141942,1.15163604,-0.218263306,1.314843433,2.251709218,2.383684061,4.12933154,4.114593236,20.6901928,NA,1,0.694681817,10.12293435
685,NA,D5,NA,71.6,572,851,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
686,NA,D5,NA,72.2,579,858,1205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
524,NA,S,NA,72.5,582,863,1208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
687,NA,D5,NA,72.8,587,867,1212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
688,NA,D5,NA,73.4,590,877,1222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,LL-M265,S,74,73.5,591,878,1222,42.56106738,NA,5.25242824,7.018096794,7.71650603,3.032979846,2.718768046,5.026426478,-5.432249052,NA,2.737943321,7.599449056,3.706321312,18.24046281,2.971268321,3.689264504,7.881382283,7.36447676,6.529758378,4.897032706,7.809680229,3.103020533,NA,6.488501741,1.675969904,1.706533712,-13.78133884,-40.09940334,3.36738734,3.029690834,3.311446086,4.798658744,9.830390069,2.004850888,1.962448421,-0.352903144,1.411093456,2.587522137,2.279991306,4.032684207,3.957064388,2.606085672,NA,1,0.673850012,9.497609624
689,NA,D5,NA,74,597,884,1232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
525,NA,S,NA,74.5,602,893,1238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
690,NA,D5,NA,74.6,603,894,1239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,LL-M266,S,76,75.5,614,907,1253,49.21261891,NA,4.902266358,10.95175473,7.345594984,2.906674931,2.622213667,5.080830153,-5.075272685,NA,2.628425588,6.801460951,3.64988958,19.12194762,3.025736473,3.559140692,7.661900755,7.201798767,6.502907046,4.787941885,7.514371136,2.978899711,NA,5.387751413,1.257124014,-0.458358169,-30.83777249,1.408617351,3.265018763,2.77078998,3.204595748,4.358956441,-246.8566088,1.985435491,1.562392639,5.435992712,1.15772379,2.470878266,2.158808206,3.682397495,3.762255063,16.48431064,NA,1,0.551764249,9.244340064
526,NA,S,NA,76.5,626,921,1260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,LL-M267,S,78,77.5,636,934,1274,86.88070247,NA,4.719345968,9.893739746,6.929832141,2.744901507,2.376833152,4.866465988,-3.902061503,NA,2.563005703,6.298613353,3.594343093,24.16434418,2.970597605,3.498619268,7.327555422,6.916127412,6.171591436,4.369872509,7.296748143,2.734218912,NA,4.480746246,1.69419975,32.11200504,2.064323406,1.762450161,3.030997556,2.647643759,3.157862057,4.012805863,35.30844786,1.867058927,1.148307006,2.195375551,1.306998561,2.324169875,2.07613326,3.583712032,3.508676311,-13.24529405,NA,1,0.480166268,8.899402005
527,NA,S,NA,78.5,646,947,1296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,LL-M268,S,80,79.5,652,958,1310,7.291513423,NA,2.590486943,4.163283255,3.540168693,1.370351437,1.240573028,3.498111236,-2.358266352,NA,1.309335113,3.812721618,2.050013691,8.381371725,1.761129371,1.736695965,4.014443527,3.550352406,5.479448885,4.854010663,3.812572269,1.646403861,NA,1.568041988,4.712275035,0.256505588,2.397680494,18.35387885,1.550303108,1.371738697,3.009228369,8.928293084,-3.515477942,1.289398757,1.777191269,0.2146615,7.225363162,1.236627067,1.062252733,1.683158462,1.668783932,2.854902401,NA,1,0.174175084,5.091723792
528,NA,S,NA,80.5,662,970,1328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,LL-M269,S,82,81.5,672,980,1337,26.98918344,NA,1.77368431,0.918410309,2.533697979,0.987491658,0.878174843,1.932306769,-1.32193149,NA,0.953676541,2.000999006,1.030478843,3.949486377,0.906787072,1.260917209,3.088215101,2.859380843,2.147564979,1.628551662,2.114621108,1.043032112,NA,1.110398071,1.228471614,-0.322118068,0.75160162,-1.851255789,1.243816672,0.945075652,0.910063301,1.119852799,32.30217476,0.924590057,-0.989912553,0.192579417,1.270672457,0.88951618,0.766875908,1.148946477,1.174998578,-71.34235317,NA,1,0.14921173,2.958188809
529,NA,S,NA,82.5,680,992,1345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,LL-M270,S,84,83.5,691,1005,1358,8.467118454,NA,1.185931244,2.46477066,1.756221795,0.694824394,0.662298399,1.696506461,-1.136261472,NA,0.654536943,1.758216474,0.942390838,1.962788249,0.722675399,0.916431083,2.051188935,1.92419272,2.925456924,2.172689147,1.593079235,0.720615675,NA,0.806226985,1.161594097,-0.141880657,1.647493923,-0.318920884,1.101711282,0.662732268,1.06998866,2.96789393,-0.949580391,0.640552014,-0.81913599,0.113631414,39.44049646,0.763420816,0.572104853,0.841291484,0.858177347,2.768142609,NA,1,0.092525997,2.638256694
530,NA,S,NA,84.5,698,1016,1368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,LL-M271,S,86,85.5,711,1027,1377,14.42623752,NA,1.467482777,2.739961789,2.110815149,0.879800876,0.839754694,2.101660182,-1.400932228,NA,0.763338598,1.899266544,1.20218238,2.270261288,1.001587539,1.061284089,2.431969392,2.375342314,3.128205543,2.631304268,1.904882873,0.69817962,NA,0.985414266,2.195574117,-11.62461074,-0.462566585,1.062158009,1.325763989,0.774624508,1.382637059,5.265626351,-1.552466646,0.728745072,-4.168284457,0.151872079,-34.94208034,0.90215135,0.674265348,0.994785972,1.039322961,-6.122774742,NA,1,0.114196517,3.110815307
531,NA,S,NA,86.5,722,1039,1384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,LL-M272,S,88,87.5,736,1048,1402,4.036550318,NA,1.265314694,2.129927793,1.825875201,0.769758187,0.676643696,1.818502591,-1.116977709,NA,0.702978169,1.837606678,0.962027965,2.272400143,0.827371007,0.939532694,2.103537489,2.03987204,2.902251727,2.255703494,1.554352933,0.681237841,NA,0.771696136,2.216784171,0.274031765,0.934922939,0.311876389,0.962374357,0.686894365,1.180102054,3.215041573,-1.173798033,0.714796169,-2.252328513,0.123925981,16.91610401,0.746287104,0.597227437,0.897958137,0.91049506,-5.869197984,NA,1,0.095871589,2.619686866
532,NA,S,NA,88.5,746,1058,1417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,LL-M273,S,90,89.5,754,1072,1433,4.103764426,NA,1.474084258,2.421718465,2.021882867,0.856423266,0.735232277,1.754879446,-1.597419679,NA,0.803416658,1.856584611,1.104628153,2.703659181,0.900547712,1.094475608,2.384376267,2.190056436,3.085936842,2.621316224,1.816728055,0.794094498,NA,0.896513899,4.749359013,-0.100087751,-2.077584131,0.370251158,1.084832049,0.794059728,1.409717164,3.034532391,-0.972648171,0.761287182,5.704672464,0.11013965,7.626181195,0.811694224,0.696872637,1.021772494,1.032053302,-2.487301382,NA,1,0.110608297,2.978273238
533,NA,S,NA,90.5,763,1085,1445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,LL-M274,S,92,91.5,776,1098,1453,-4.566682497,NA,1.238182716,1.63235427,1.705647656,0.686894046,0.469679104,1.383271217,-0.430458313,NA,0.672066662,1.294501808,0.642623168,4.431056076,0.599771552,0.93413377,2.03361864,1.849016038,1.47341259,1.107204123,1.380532245,0.664601292,NA,0.468304857,-2.332372447,-0.081935981,0.69692005,0.464589124,1.0281756,0.623737262,0.68660396,0.381899183,0.616433159,0.664346455,-0.26382721,0.065131579,1.685076859,0.608732259,0.560663634,0.828161149,0.850048067,-1.196848404,NA,1,0.06088487,2.027733594
534,NA,S,NA,92.5,789,1109,1458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,LL-M275,S,94,93.5,800,1126,1470,5.793444628,NA,1.342095871,2.335028774,1.763031511,0.708138971,0.594321867,1.615644804,-0.753396034,NA,0.700811137,1.373308437,0.795264241,2.697758872,0.711326185,0.938829977,2.054541802,1.937973218,2.292464603,2.161223768,1.294653814,0.67474535,NA,0.653183112,0.840444918,-0.237260908,1.032654349,0.175409768,1.147428732,0.671939432,0.971304405,1.953137206,-0.856601097,0.774310081,-0.970265619,0.086548074,20.87680494,0.784906712,0.594354807,0.871120977,0.898553987,-3.872106298,NA,1,0.083678348,2.304186252
535,NA,S,NA,94.5,812,1139,1484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,LL-M276,S,96,95.5,820,1151,1493,586.9062259,NA,1.218563352,2.063801305,1.731533353,0.719699512,0.623504138,1.534834108,-1.010078779,NA,0.703873429,1.622110559,0.808986867,2.511322998,0.81893227,0.975449779,2.227590688,1.935421162,2.677616849,2.433999583,1.423593138,0.697578259,NA,0.692195584,4.086474686,-0.176268609,0.94722877,0.152482134,1.232884689,0.663326082,1.018141924,2.161315903,-0.865254424,0.637514542,27.86155659,0.090599861,2.518049264,0.854980035,0.590464725,0.875263959,0.892056704,-1.619653712,NA,1,0.084525919,2.304462987
536,NA,S,NA,96.5,834,1167,1502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,LL-M277,S,98,97.5,845,1180,1509,-27.86686011,NA,1.108725007,2.132850554,1.577198715,0.649689558,0.555881447,1.50472143,-0.722454959,NA,0.616347203,1.481981735,0.672501101,2.117340864,0.655318803,0.86908531,1.706777485,1.659733695,2.375199615,1.849753284,1.279528415,0.648691793,NA,0.566235705,3.676667816,-0.166182922,0.882838309,0.312752067,1.099676459,0.572952114,0.980418806,2.660503077,-0.817091853,0.619776018,-1.34325683,0.082623978,-294.7841587,0.67893602,0.522080632,0.783489548,0.808487327,0.548958839,NA,1,0.072023975,1.995625339
537,NA,S,NA,98.5,856,1191,1521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,LL-M278,S,100,99.5,865,1205,1543,-18.19418905,NA,0.994459747,1.581081556,1.499104638,0.65260109,0.546528319,1.607065512,-0.688477796,NA,0.569296644,1.221736976,0.630367778,2.066408266,0.622381246,0.811932491,1.543663841,1.492765,2.098308901,1.73877493,1.241600053,0.587505221,NA,0.5572744,3.665558084,1.234545543,0.59937506,0.168242126,1.082242449,0.550632818,0.890151058,1.901529479,-0.72267703,0.576733953,-0.891755416,0.072350198,3.033150845,0.70847683,0.509521992,0.808574057,0.810588568,3.149299677,NA,1,0.069809165,2.013337868
538,NA,S,NA,100.5,876,1217,1554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,LL-M279,S,102,101.5,888,1230,1563,-5.330406758,NA,1.011649511,2.248582913,1.397527589,0.595972659,0.440097759,1.734511992,-0.488764139,NA,0.54682486,1.150049956,0.575364538,2.196178448,0.547448578,0.77479574,1.483169972,1.34033477,1.891153124,1.598038421,1.1354161,0.506024182,NA,0.436592156,5.035027432,0.091696798,-0.898271162,0.154214702,1.019195901,0.512493524,0.886852092,1.460174731,-1.397674574,0.487430741,-1.656573486,0.060424106,10.83070367,0.651475483,0.460051579,0.707841239,0.733413574,0.651983156,NA,1,0.05618365,1.686869129
539,NA,S,NA,102.5,897,1244,1571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,LL-M280,S,104,103.5,906,1258,1583,-10.04048903,NA,0.774558084,1.210089425,1.179233921,0.498003396,0.431572666,1.030126041,-0.602280213,NA,0.470877792,1.005157094,0.419415333,1.01783562,0.386835365,0.677563382,1.145065196,1.062405821,1.166180269,0.756587936,0.983566973,0.40856437,NA,0.4642665,0.909836789,-0.43687263,0.605484331,0.194782518,0.880930609,0.436990289,0.453792703,0.474816341,6.175529668,0.449900162,-0.606908208,0.074697609,0.979930513,0.59581207,0.399033555,0.623451821,0.643972658,0.517522204,NA,1,0.064692168,1.362505341
540,NA,S,NA,104.5,912,1271,1598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,LL-M281,S,106,105.5,925,1284,1610,5.648407782,NA,0.773539431,1.340509735,1.117490373,0.487994573,0.430430414,1.214635958,-0.592724946,NA,0.454635488,0.968557536,0.46797757,1.201903035,0.463351245,0.635014653,1.134919049,1.085671164,1.458610129,1.268544385,0.971507865,0.410693894,NA,0.461265789,0.798725678,0.610115225,-0.330713493,0.077896997,0.744556644,0.423460355,0.599405533,1.723096335,-2.0088427,0.489677119,-0.786310686,0.07106028,2.906269335,0.539764202,0.385417661,0.569025647,0.589531932,5.014311245,NA,1,0.061093371,1.349984752
541,NA,S,NA,106.5,940,1297,1629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,LL-M282,S,108,107.5,950,1312,1639,14.06375509,NA,0.782781241,1.507668629,1.121794781,0.48800537,0.421631897,1.194469589,-0.571697383,NA,0.458956835,0.934071411,0.487919267,1.412318501,0.466636219,0.640342175,1.111816372,1.060333329,1.478406486,1.270337635,0.852148039,0.406347927,NA,0.430757489,3.475911054,0.093054475,-0.395751412,-0.245065953,0.753616442,0.419831684,0.674814687,1.61260973,-0.677836392,0.444958965,-0.624132646,0.067196221,4.093380388,0.523873714,0.38015855,0.570815036,0.581175512,-0.938157643,NA,1,0.056012784,1.372392387
542,NA,S,NA,108.5,960,1326,1653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,LL-M283,S,110,109.5,971,1340,1673,8.795217018,NA,0.755861069,0.965646256,1.048078356,0.44762683,0.386195108,1.011910458,-0.432586603,NA,0.410057925,0.713431252,0.364807912,1.165088628,0.315314596,0.574531264,0.887534005,0.897618134,0.882542716,0.571328293,0.701212655,0.402445738,NA,0.453539024,2.852423728,0.123542996,-1.854907313,-0.183877541,0.614833969,0.365678091,0.41095046,0.445736109,-6.727355429,0.404858373,-0.948146117,0.054382288,0.909444196,0.387410339,0.338267801,0.496580252,0.513245907,1.687599126,NA,1,0.06090481,1.084394453
543,NA,S,NA,110.5,986,1354,1687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,LL-M284,S,112,111.5,1008,1365,1697,3.429205977,NA,0.726070962,1.260048559,1.026276797,0.434204184,0.400775363,1.174647944,-0.611635426,NA,0.415434392,0.865978728,0.429416111,1.009246291,0.40632514,0.575165335,1.014862925,0.969165142,1.415866563,1.047190898,0.779084357,0.430975074,NA,0.468231321,-8.964126065,-1.293825685,-0.54754178,0.325876487,0.678768056,0.361194761,0.691724295,1.533542382,-0.715352279,0.446103536,0.819805779,0.05339732,8.502032643,0.511484239,0.319482012,0.484133557,0.498858039,-0.979354504,NA,1,0.057079284,1.242803153
544,NA,S,NA,112.5,1027,1376,1712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,LL-M285,S,114,113.5,1036,1391,1727,-8.507131476,NA,0.701401186,1.429555158,0.9991851,0.431614526,0.354436949,1.033023723,-0.423590067,NA,0.405428267,0.685412951,0.361751639,1.2596583,0.351379991,0.56731693,0.965226078,0.947917366,0.442736918,0.563797505,0.610452942,0.02312347,NA,0.363748679,2.578510721,0.054389765,0.270858434,0.261850629,0.691363262,0.348649219,0.398783281,0.362951208,-1.003025297,0.377720124,-0.271624112,0.050481296,0.23715487,0.471252465,0.313165575,0.483053878,0.512052952,-1.174235116,NA,1,0.051160865,1.134200031
545,NA,S,NA,114.5,1046,1402,1742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,LL-M286,S,116,115.5,1057,1418,1754,5.65965145,NA,0.593928424,0.745212269,0.837438041,0.360512352,0.313410325,0.906928183,-0.913549084,NA,0.356576854,0.716753473,0.392870059,0.940094904,0.367248765,0.485058081,0.851189287,0.827853829,0.589194844,0.998707316,0.625677271,0.026275577,NA,0.374015779,99.11411351,0.333611827,-0.316353009,0.134572055,0.669583926,0.307717541,0.511194649,0.992440976,-0.539998847,0.454236675,-1.156853343,0.047564927,0.506504145,0.50240348,0.275787748,0.421065151,0.442713635,0.480121967,NA,1,0.049244959,1.057615178
546,NA,S,NA,116.5,1068,1429,1765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,LL-M287,S,118,117.5,1078,1440,1778,2.624507595,NA,0.586284558,0.932552497,0.807854361,0.364774153,0.292888091,0.974020001,-0.727808201,NA,0.336767029,0.671245317,0.369882981,1.052918391,0.334377733,0.464963221,0.794308706,0.748388815,0.54824856,1.033882722,0.552423157,0.023838309,NA,0.314920523,2.4424365,0.047294468,0.277153097,-0.353285471,0.716652185,0.301213182,0.505609393,1.14263117,-0.472551685,0.396309327,-0.67872163,0.047649361,0.508900112,0.462916053,0.272828255,0.425339835,0.445316302,-1.973061995,NA,1,0.043732866,1.005066458
547,NA,S,NA,118.5,1088,1451,1785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
