Entry,CoreID,Drive,DepthDrive,SedDepth,AgeLo,AgeMed,AgeHi,Li,Be,B,Na,Mg,Al,Si,P,K,K_NoNeg,Ca,Sc,Ti,V,Cr,Mn,Fe,Fe_1,Co,Ni,Cu,Zn,Ge,As,As_1,Se,Se_2,Se_1,Rb,Sr,Zr,Mo,Ag,Cd,In,Sn,Sb,Cs,Ba,La,Ce,W,Tl,Pb,Bi,U
565,NA,S,NA,5.25,-46,20,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,LL-M230,S,6,5.5,-43,23,151,38.64653316,NA,19.7286329,13.50983633,16.15487876,6.872968112,7.962707655,2.614804158,0.824464128,0.904159669,5.447701933,24.04885354,8.473667942,-434.9312744,7.447891611,5.689834742,13.08606871,12.60143801,11.55483331,6.665456482,20.99936239,6.464626111,NA,12.8424593,3.315945821,-29.30243259,2.966390652,4.332726316,2.957444533,9.061232102,8.047690933,13.35644657,33.17453232,3.485853641,0.996134284,-0.431597769,2.755159976,3.877533178,6.173514921,9.951709513,9.468540553,10.1649931,NA,1,3.012152659,23.18109588
566,NA,S,NA,5.65,-41,25,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567,NA,S,NA,6.05,-39,30,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568,NA,S,NA,6.45,-36,34,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
493,NA,S,NA,6.5,-36,35,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
569,NA,S,NA,6.8,-34,39,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
570,NA,S,NA,7.25,-31,44,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,LL-M231,S,8,7.5,-30,47,182,89.39234852,NA,18.84754832,23.0153183,15.86697003,6.97775776,8.609052961,2.439946685,2.718580848,2.98136823,5.754465731,25.33697389,7.978284278,-51.42196312,8.039276437,6.048372274,14.66562061,14.15393518,13.13752419,11.83740819,22.234619,7.239284383,NA,7.660639062,2.813243715,-2.222242282,-5.612324506,5.255177726,2.978043649,9.57901679,7.890966177,12.51288157,6.717842806,3.659224141,1.785312075,-0.873512601,2.912697709,4.390560643,6.413329597,10.14782287,9.628679627,8.721880094,NA,1,1.776180084,23.1987241
571,NA,S,NA,7.65,-29,49,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
