Value,Li,Be,B,Na,Mg,Al,Si,P,K,K_NoNeg,Ca,Sc,Ti,V,Cr,Mn,Fe,Fe_1,Co,Ni,Cu,Zn,Ge,As,As_1,Se,Se_2,Se_1,Rb,Sr,Zr,Mo,Ag,Cd,In,Sn,Sb,Cs,Ba,La,Ce,W,Tl,Pb,Bi,U,ResMinMatterPct,DensDB,SedRate,OrgPct,S_V,C_V,AdAl_v,AdAl_s,L8,Bd35,C_pct,C_mol,N_pct,N_mol,CN_pct,CN_mol,d13C
mean,0.525897014,0,21.03258304,103.9808977,1736.264546,3371.718192,2229.224475,171.5637599,67.74396487,74.29232969,6421.592679,1.117248231,112.3707763,25.18184866,5.835690991,28.70206519,3606.839566,3833.696541,1.382080312,6.181646755,65.52380637,73.96186477,0,-3.328203672,0.856474031,0.833044166,0.833036179,-2.118023966,1.297052736,29.05892125,0.553139898,0.51515919,0.931623273,0.749292419,0.001545473,-0.004750873,0.024835372,0.092758798,62.60497883,5.244351339,7.771834282,1.823761077,0,2.860252995,-0.004098898,0.661028783,33.7385331,0.06075402,0.004968024,66.41267119,0.562171985,0.322498813,0.430665837,0.446681698,1.837402465,0.045641467,33.13611886,397.7858104,3.066429824,42.93001754,10.92918073,9.367869197,-18.9715469
std,0.800510705,0,12.66071674,60.11474984,1182.500748,1662.05224,835.6746549,107.9812816,113.7369202,108.026799,903.0736305,1.376660359,70.52153054,29.12423653,3.609961547,14.17005417,3744.935493,4082.321772,1.881383732,6.245616249,58.56865561,114.359429,0,2.365898499,1.017128361,7.061356898,1.094878825,4.675933345,1.032055177,6.671896787,0.420486745,0.50827111,1.279662829,0.240087461,0.00359926,0.026304397,0.022699812,0.05082066,12.50861215,2.393168347,4.570568462,3.176327057,0,1.983582121,0.013206617,0.71381421,14.71809307,0.111352401,0.007749834,14.12750615,0.143374002,0.132702024,0.058281054,0.05542278,1.324778385,0.014566259,6.861777061,82.42730668,0.697168177,9.760354472,0.912585001,0.782215715,2.914767747
