Entry,CoreID,Drive,DepthDrive,SedDepth,AgeLo,AgeMed,AgeHi,Li,Be,B,Na,Mg,Al,Si,P,K,K_NoNeg,Ca,Sc,Ti,V,Cr,Mn,Fe,Fe_1,Co,Ni,Cu,Zn,Ge,As,As_1,Se,Se_2,Se_1,Rb,Sr,Zr,Mo,Ag,Cd,In,Sn,Sb,Cs,Ba,La,Ce,W,Tl,Pb,Bi,U,ResMinMatterPct,DensDB,SedRate,OrgPct,S_V,C_V,AdAl_v,AdAl_s,L8,Bd35,C_pct,C_mol,N_pct,N_mol,CN_pct,CN_mol,d13C,HasLignin,HasMetals,HasCN,HasLOI,HasBDens
47,LL-M273,S,90,89.5,385,855,1374,0.090348499,0,10.05942051,30.27140431,605.4280862,2775.654918,2137.626858,68.92565904,-29.89883318,0,5635.13834,0.424265374,71.71994251,6.566566165,4.568653481,18.48884232,1066.484859,1234.141868,0.315754033,1.662598667,25.42797962,65.66566165,0,-2.617312188,0.127139898,-5.867995297,-0.282688345,-4.033082482,0.842942181,25.80055075,0.276634064,0.119688475,-0.675285173,0.69391373,0.000191408,-0.030411118,0.00229597,0.080568507,63.33709209,3.6185971,5.309138602,-0.516942443,0,2.016541241,-0.02612655,0.156479875,30.03533569,0.034754454,0.003159496,69.96466431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
48,LL-M274,S,92,91.5,401,876,1393,-0.047961395,0,7.074565869,26.52962201,423.9537635,2044.341461,1976.716934,51.65473462,-65.54377202,0,3979.443302,0.359450369,72.82641336,2.366858434,4.052269715,12.7966412,738.6679069,863.513187,0.390661689,2.325243341,19.76716934,46.34881022,0,-2.959873514,-0.152935468,-4.234335748,0.497820554,-1.898688634,0.525390554,19.40303727,0.33552169,0.56180376,0.629428287,0.469730366,-0.002439685,-0.030379018,0.006138226,0.063463017,46.50486682,2.637356541,3.807781041,-0.634630174,0,1.191232047,-0.028038169,0.135769242,28.60040568,0.064358419,0.007150935,71.39959432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
49,LL-M275,S,94,93.5,418.977,896,1409.046,0.057229305,0,9.880153666,28.07475359,620.8839735,3001.839037,2364.758091,66.94748932,-56.68940628,0,5776.920449,0.512904152,89.08335273,5.884900271,5.172233449,19.27439814,1106.79317,1247.166938,0.380088972,1.803263019,31.90803725,69.10708575,0,-3.212399689,0.642479938,-2.21358634,0.508584959,-7.612577415,0.712666822,27.26490492,0.359032906,0.166288925,-0.685671866,0.610085991,-0.001004212,-0.034607533,0.00075046,0.074506077,66.40759021,3.795490725,5.452980985,-0.296944509,0,1.803263019,-0.030882229,0.180866201,31.64556962,0.039971289,0.003997129,68.35443038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
50,LL-M276,S,96,95.5,437.954,918,1427,0.000545899,0,10.5173216,30.70056259,611.0063027,2854.701578,2178.588047,68.11217801,-40.86730681,0,5559.155705,0.419691215,84.63939767,6.110063027,4.342151348,17.92952921,986.6249315,1206.98786,0.314517998,1.54754875,28.04619095,64.60640414,0,-2.929825304,0.127710334,-2.87974282,0.535882577,-8.463939767,0.641055793,26.69396388,0.331045218,0.145239203,-0.656080538,0.716179519,3.38E-05,-0.031952625,0.006009898,0.066108879,64.60640414,3.651013071,5.308743286,-0.686130028,0,1.742870437,-0.029548665,0.174787869,30.25641026,0.04036936,0.003669942,69.74358974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
51,LL-M277,S,98,97.5,456,939,1446,-0.010169556,0,10.22252294,26.27135429,593.2241291,2796.628037,2161.030756,61.44107051,-50.52998385,0,5614.44265,0.406252596,90.04294816,6.408939251,4.798759473,17.79672387,1138.778462,1244.711342,0.313561325,1.800858963,27.59551529,61.44107051,0,-3.167393118,0.125530463,-2.701288445,0.508477825,-3.649387723,0.635597281,27.33068309,0.304027366,0.104343887,-0.614410705,0.651487213,-0.000619707,-0.030985367,-4.54E-05,0.073623352,64.61905692,3.60701457,5.180117841,1.790265675,0,1.541323407,-0.030667569,0.178496903,29.44550669,0.03973035,0.003973035,70.55449331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
52,LL-M278,S,100,99.5,473.977,959,1465.023,-0.015210629,0,11.12972863,34.60815617,609.4851394,2718.833709,2146.447665,56.17863024,-51.77973749,0,5935.85527,0.481228267,93.80771275,6.41284364,4.934179693,18.60254643,1229.57002,1351.467048,0.346611549,1.870854384,27.77132287,66.24838471,0,-3.142823371,0.122957002,0.355091342,0.731382167,-6.624838471,0.630684622,27.77132287,0.327002027,0.142566524,-0.678383459,0.68368333,-0.000911578,-0.034555157,0.004308795,0.06889832,64.65842348,3.41311678,5.04547698,0.30474257,0,1.505163301,-0.030898247,0.172775787,29.6735905,0.041235341,0.004581705,70.3264095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
53,LL-M279,S,102,101.5,485,978,1485.023,-0.040185857,0,8.468284041,18.83551663,506.0441251,2304.399718,2063.18193,40.28850286,-56.45522694,0,4783.29741,0.395699818,79.55054706,4.670386956,4.341920181,15.08894247,990.5326182,1165.030592,0.297673015,1.575614061,23.50590358,59.53460296,0,-3.105037482,0.06928596,3.700383511,-0.377736791,-5.594199761,0.518361629,23.09532011,0.254048521,0.143704214,-0.271498319,0.62613979,-0.00037979,-0.032025511,0.000934077,0.057994915,55.42876827,3.017788495,4.316258714,1.139369126,0,1.165030592,-0.029715979,0.159614323,31.01265823,0.053673336,0.005367334,68.98734177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
54,LL-M280,S,104,103.5,504,999,1506.023,-0.022264393,0,11.54259989,36.52591609,625.8654161,2877.954905,2195.659001,70.79461264,-47.81201376,0,5796.950166,0.472477089,113.8869856,10.51659101,6.412555493,18.00645582,1338.941587,1533.883274,0.50377036,3.473040055,28.31784506,76.95066592,0,-3.04724637,0.400143463,-0.810547014,0.584825061,-4.622169999,0.625865416,28.26654461,0.518134484,0.461190991,0.064125555,0.707946126,-0.001082439,-0.027035334,0.010773093,0.066177573,66.69057713,3.575640943,5.130044394,1.497972963,0,1.215820521,-0.026932733,0.206227785,29.42307692,0.036779731,0.003677973,70.57692308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
55,LL-M281,S,106,105.5,530,1019,1526,0.037043684,0,10.81806693,30.8619312,618.1752531,2749.006618,2060.584177,56.19775028,-45.47334627,0,5619.775028,0.458948294,95.53617548,8.335999625,5.010966067,17.98328009,1264.449381,1404.943757,0.376993241,1.938822385,26.83442576,71.65213161,0,-2.87076841,0.426634588,0.543244919,-1.002193213,-10.81806693,0.693105587,27.30274035,0.367158635,0.118951905,-0.184515947,0.608808961,-0.000782085,-0.026600268,0.003399964,0.06837393,64.62741282,3.666903206,5.24512336,0.144709207,0,1.138004443,-0.026693931,0.194818868,30.87885986,0.039615119,0.00440168,69.12114014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
56,LL-M282,S,108,107.5,549,1038,1545.023,0.014950306,0,10.74243846,27.57390886,618.8040588,2762.341319,2113.834665,57.42501666,-47.37563874,0,5593.988692,0.478211777,92.07804396,7.128622758,4.999936795,17.92056554,1297.013307,1445.526281,0.373757652,1.945519961,30.74218564,72.77135732,0,-3.089069862,0.098513606,3.579162676,-0.84157352,3.455401865,0.688110113,27.67291751,0.32771863,0.127721158,-0.549498004,0.673258816,-0.000990086,-0.028266969,0.002425712,0.070791184,65.84075186,3.673220893,5.346467068,-0.777217898,0,1.143549901,-0.029257056,0.192571823,31.90045249,0.039206572,0.003920657,68.09954751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE
