Entry,CoreID,Drive,DepthDrive,SedDepth,AgeLo,AgeMed,AgeHi,Li,Be,B,Na,Mg,Al,Si,P,K,K_NoNeg,Ca,Sc,Ti,V,Cr,Mn,Fe,Fe_1,Co,Ni,Cu,Zn,Ge,As,As_1,Se,Se_2,Se_1,Rb,Sr,Zr,Mo,Ag,Cd,In,Sn,Sb,Cs,Ba,La,Ce,W,Tl,Pb,Bi,U,ResMinMatterPct,DensDB,SedRate,OrgPct,S_V,C_V,AdAl_v,AdAl_s,L8,Bd35,C_pct,C_mol,N_pct,N_mol,CN_pct,CN_mol,d13C,HasLignin,HasMetals,HasCN,HasLOI,HasBDens
86,LL-M19,D1,56,181,1343,1770,2023,0.235698239,0,16.34901083,88.557142,917.3611633,2420.561881,1762.060056,110.3558231,69.93743522,69.93743522,6040.051223,0.481387541,77.65780144,5.903809467,4.287073951,22.52530381,1607.652732,1707.563353,0.273391792,3.01548422,28.51994112,52.68014601,0,-5.358842439,0.476846149,8.038263658,-0.002865618,-1.348793394,0.676667393,34.28750883,0.397371791,0.282020437,3.424209491,0.52680146,-0.001003648,0.005903809,0.002429645,0.063125347,73.11640955,3.905597032,5.404256358,5.722153791,0,0.544967028,0.007266227,0.193463295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
87,LL-M20,D1,59,184,1382.977,1799,2035,0.27989647,0,15.56757509,87.96746198,948.9823171,2623.029775,2041.91139,115.6905409,91.69941491,91.69941491,5704.556625,0.431307132,87.96746198,2.814958783,4.158461839,22.17846314,1386.153946,1428.804837,0.293224873,3.390745807,30.49538682,59.71124692,0,-6.557574438,0.38332488,5.437988559,2.036580029,-7.517219478,0.767716032,31.77491354,0.374794702,0.282562151,1.983266415,0.464361572,-0.002489746,-0.006610888,0.002207184,0.074105923,74.63905865,4.275751788,5.971124692,6.664201665,0,0.618437915,0.00826361,0.236179307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
88,LL-M21,D1,62,187,1426,1828,2046,0.206979881,0,14.52289772,83.47807351,920.5458791,2578.671997,1841.091758,101.7746376,44.31199107,44.31199107,6003.560081,0.411672691,86.33691164,2.235611421,3.705054221,20.69798809,1326.500894,1297.912513,0.244716544,3.33912294,32.76228501,62.32267132,0,-7.089918572,0.397950268,3.459194142,0.070327418,0.663250447,0.76616862,32.81946178,0.381369007,0.3179028,0.070327418,0.559188739,-0.002395706,-0.010863585,0.00341917,0.074901559,72.6144886,4.293974877,5.946383318,5.77485303,0,0.546609851,0.00600356,0.244716544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
89,LL-M22,D1,65,190,1470.977,1859,2054,0.205670421,0,14.27594686,88.31729836,943.6642839,2697.911991,2250.276369,118.5629485,81.05834233,81.05834233,5710.378743,0.483930402,95.57625439,1.040450364,4.573142299,20.32507688,1772.395097,1899.426828,0.470622316,4.8755988,34.66151504,65.93551727,0,-7.198464729,0.381095192,0.865025594,1.863132048,-11.25138185,0.731944733,32.30235433,0.575877178,0.629109523,3.889590606,0.517200617,-0.000192362,-0.009134186,0.019478199,0.07258956,73.1944733,4.325127968,5.964442204,6.896008228,0,0.516595704,0.011069908,0.276445242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
90,LL-M23,D1,68,193,1521,1889,2063,0.226364358,0,15.05918674,87.20984727,924.5196923,2592.467591,1934.819562,111.9907875,76.72560333,76.72560333,5623.367201,0.405073061,77.20215987,3.493159456,3.602767461,19.6817852,1262.874837,1362.951711,0.324058449,3.516987283,32.35818923,62.42890706,0,-5.861645472,0.344073824,6.910069865,0.948347519,0.705303683,0.824442818,32.02459965,0.339784815,0.271637229,0.772021599,0.548040024,-0.001077018,-0.007720216,0.003345427,0.068624142,69.5772552,4.236587662,5.95695678,4.336664536,0,0.776787164,0.005766334,0.251621854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
91,LL-M24,D1,71,196,1574.977,1920,2073,0.201154882,0,13.44897197,77.67940706,863.7486307,2492.697391,1941.985176,96.22971322,59.12910089,59.12910089,5518.716083,0.393034612,86.37486307,-0.273617016,3.397024816,19.36188206,1199.97293,1252.145666,0.272457622,3.489776347,35.53543024,55.47700937,0,-7.188243638,0.376803094,7.304183052,-0.259704286,-9.159213668,0.898530455,31.41958106,0.347238543,0.350137029,1.344897197,0.568103126,-0.00032521,-0.001142003,0.006898395,0.080577892,66.66516277,3.94194006,5.652046409,4.875252338,0,0.517669481,0.006086819,0.233617918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
92,LL-M25,D1,74,199,1630.977,1951,2082,0.348456261,0,16.36766483,89.55892076,998.5304958,2964.709101,2105.149344,110.6618848,72.05890176,72.05890176,5970.594717,0.555882956,106.5442333,3.813974729,5.2500057,20.63972829,1806.619608,1919.855025,0.602206536,5.301476344,39.06621888,65.36771803,0,-6.279418582,0.329412122,6.897066311,0.674265438,0.10705894,1.044854076,33.71327189,0.535294699,0.545588828,3.391915447,0.602206536,-0.001394854,-0.001590443,0.018529432,0.085441269,76.69125973,4.750740452,6.588242447,6.227947938,0,0.911030401,0.010036776,0.312941516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
93,LL-M26,D1,77,202,1691.977,1981,2090,0.23689606,0,16.02030906,89.75917844,1028.25388,3027.952032,2073.550641,111.914925,80.10154531,80.10154531,6135.437513,0.543099839,111.3468289,8.237392958,5.794579874,24.31451163,2283.746186,2181.488894,0.596500869,5.402593588,37.94881721,72.14820039,0,-6.760343186,0.590819909,-0.732843925,1.141873093,-8.010154531,0.886229863,35.10833688,0.556166049,0.60218183,4.209591849,0.466974966,-0.001584988,-0.010509777,0.015338594,0.081805834,80.10154531,4.772006955,6.646723973,6.53310476,0,0.86350602,0.011873208,0.30620378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
94,LL-M27,D1,80,205,1773.977,2012,2099,0.114672351,0,16.21885191,94.39878653,1051.691179,3313.460762,779.2651505,129.2439762,69.05683041,69.05683041,6842.328151,0.500503633,105.8026668,17.80272417,5.923682242,25.65873057,2344.130941,2464.505232,0.44475133,5.632249747,35.16196411,91.86459092,0,-7.602586835,0.466291993,6.71561837,0.969329821,-4.992365355,0.677897326,38.39306351,0.639884392,0.65255537,6.177101803,0.492267498,-0.002318789,-0.000829949,0.021920792,0.059110113,89.33039531,5.157088069,7.032392822,5.442185076,0,0.495435242,0.009439879,0.290165398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
95,LL-M28,D1,83,208,1859.977,2046,2109,0.173904835,0,17.57483489,99.54976407,1149.12382,3582.562497,934.0471691,132.118514,98.93525935,98.93525935,6698.10141,0.302950825,79.88561314,19.23399763,4.381418629,26.54660375,1696.033018,1825.079008,0.293733254,3.644012969,30.90958724,103.2367924,0,-7.496957541,0.163458255,2.703820753,-0.682100235,-2.095461083,0.706680424,38.22219337,0.331832547,0.26055,4.553479949,0.543222169,-0.002371988,-0.011061085,0.005487527,0.06120467,89.71768861,4.891457543,6.759551881,4.061876176,0,0.47685566,0.006329399,0.235355306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
96,LL-M29,D1,86,211,2037,2114,2329.023,0.25822056,0,17.00217682,91.91801845,1020.130609,2741.601013,1923.371253,102.544379,82.88561201,82.88561201,6269.552703,0.438337371,87.66747424,8.766747424,3.958319292,21.99656626,1466.437751,1519.569554,0.315071589,3.480133068,31.98534515,31.24149991,0,-6.535211716,0.301788639,7.279056952,-0.006854003,-1.625833159,0.903240644,35.2263851,0.283723826,0.29594414,3.671407558,0.523879573,-0.000221028,-0.012220315,0.006747739,0.079166386,75.97847768,4.585274562,6.322684506,3.485446249,0,0.600389369,0.004601214,0.24228102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
97,LL-M30,D1,89,214,2089,2212,2630.023,0.260193087,0,17.407284,94.67119368,1081.083954,2962.292189,2174.383545,117.8809057,78.18008253,78.18008253,6718.600842,0.622997533,122.7671608,6.413209895,6.028417301,24.67558855,1875.100417,1917.855149,0.576578109,5.723026354,35.91397541,32.98222232,0,-7.207226358,0.345702552,14.35337453,2.375941571,-6.718600842,1.013897945,36.64691368,0.541152759,0.702399179,4.428168737,0.653536627,-0.001563602,-0.013376123,0.017956988,0.095281976,80.01242821,4.843500425,6.840757221,4.501462564,0,0.732938274,0.010383292,0.293786091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
98,LL-M31,D1,92,217,2119,2308,2751,0.28121865,0,17.83701334,91.91775676,978.7998963,2514.074861,1878.103354,101.8548115,73.03735267,73.03735267,6061.603419,0.391519959,87.94293485,6.95593835,4.019538661,27.77406812,1361.376506,1435.904416,0.319476311,2.961242326,28.61871778,37.56206709,0,-6.011918145,0.134647092,1.902945991,0.526663904,3.050675819,0.894334931,34.77969175,0.262338246,0.241967284,3.045707292,0.501821267,-0.000968863,-0.008545867,0.001386219,0.0725405,77.01217458,4.253059448,5.962232871,3.522685921,0,0.70553089,0.00472507,0.230042818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
99,LL-M32,D1,95,220,2147,2399,2839,0.306528,0,20.18728596,95.09274175,1104.988284,2948.406239,2140.9148,117.4050052,77.56167763,77.56167763,6693.679028,0.610931022,131.7486031,9.031154245,6.640554592,26.13722287,1997.478821,1880.60506,0.690617678,5.471816984,38.99333656,66.40554592,0,-6.321807971,0.439870336,5.312443673,0.224185123,1.864667729,1.078426066,37.08085684,0.525931924,0.642805684,3.22465331,0.658743015,-0.000600306,-0.006799928,0.014449847,0.089249054,81.2803882,5.131820588,7.171798959,3.394651507,0,1.104988284,0.007384297,0.334683951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
100,LL-M33,D1,98,223,2178,2489,2895,0.28340711,0,20.29807679,97.66055816,1101.07492,2853.220229,1996.296704,115.8522308,88.08599364,88.08599364,6414.958232,0.560112025,112.9798614,8.617108073,5.984102829,25.56408728,1785.656284,1785.656284,0.636708541,5.170264844,37.62803859,63.6708541,0,-5.840484361,0.308779706,7.228796217,1.297353493,-0.064628311,0.90958363,35.56950721,0.545750178,0.665432235,2.738325454,0.593623001,0.000622347,-0.006079848,0.017042725,0.081383798,78.99015734,4.883027908,6.797940813,3.27928835,0,0.799476138,0.008952218,0.305428608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
101,LL-M34,D1,101,226,2217,2577,2939,0.155220907,0,21.59595223,100.266921,1089.438661,2685.032453,1870.36372,122.9233888,84.84124088,84.84124088,6363.093066,0.554360381,119.5490212,8.339508337,6.122066814,25.06673026,1643.799042,1716.106918,0.588104056,5.157961804,40.87805243,70.86171824,0,-5.78463006,0.482052505,5.640014309,1.47026014,-5.398988056,0.694155607,34.61136986,0.52543723,0.660411932,3.441854886,0.718258232,-0.000583284,-0.008435919,0.015763117,0.070379666,75.20019078,4.685550349,6.555914068,3.181546533,0,0.805027683,0.006845146,0.329241861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
102,LL-M35,D1,104,229,2267.977,2667,2974,0.213506961,0,19.156192,99.20987264,1033.245678,2381.95132,1723.600091,87.78016381,61.26323932,61.26323932,6172.042768,0.426099545,84.57984534,5.989167426,4.187845315,24.27670155,1289.271156,1339.561875,0.321860601,3.072305733,36.1178799,62.63480438,0,-5.623416744,0.238195132,-0.882373522,0.617204277,-1.609303003,0.667494996,33.96909464,0.307687762,0.276598954,1.197833485,0.589772976,-0.001714456,-0.004846197,0.006126324,0.062634804,68.57825297,4.178701548,5.806292085,2.368235669,0,0.745217016,0.001929335,0.271569882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
103,LL-M37,D1,110,235,2412,2850,3039,0.181543525,0,21.18007793,109.9827176,1090.221698,2627.098101,1863.462638,130.6344942,83.5676544,83.5676544,6579.752099,0.561920435,122.9501122,10.03772401,6.675806875,23.67750208,2670.32275,2641.506317,0.715608075,5.37906741,41.7838272,78.76491564,0,-5.859341286,0.307375281,2.401369379,-0.30353309,-0.00955745,0.600342345,34.24352735,0.480273876,0.633961516,2.545451542,0.653172471,-5.33E-06,-0.004019892,0.01488849,0.060994782,73.96217688,4.735500416,6.435669937,2.641506317,0,0.792451895,0.005427095,0.340994452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
104,LL-M38,D1,113,238,2529,2950,3069,0.204317677,0,19.10016572,109.8571623,1090.249111,2659.042678,1693.631252,118.1796746,76.56711311,76.56711311,6449.947028,0.420286871,98.20564508,11.56829209,4.827057131,23.59432235,1818.468936,1826.791449,0.399064465,3.512100188,35.16261444,83.22512294,0,-5.159957623,0.441093152,1.510535981,0.00503512,-7.07413545,0.678284752,34.74648883,0.277555785,0.212640189,2.900395535,0.674123496,-0.001314957,-0.009654114,0.003000266,0.060338214,74.07035942,4.827057131,6.533172151,2.055660537,0,0.940443889,0.002775558,0.297113689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
105,LL-M39,D1,116,241,2781,3066,3119,0.127627344,0,17.43202751,112.5077286,1093.948665,2645.932747,1725.414968,112.5077286,76.93216221,76.93216221,6625.949231,0.41178718,110.7289502,14.80832949,4.669293082,26.23698018,1934.42142,1814.353883,0.462482362,3.619813875,37.26540574,74.26399474,0,-5.469743325,0.720405218,0.649254086,0.322848265,-5.603151699,0.569209061,35.30874959,0.249918354,0.24280324,2.539206048,0.653701032,0.000196555,-0.013474246,0.006047846,0.051139877,78.71094053,4.93610983,6.670418689,2.285730137,0,1.049479207,0.003370785,0.307728649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
106,LL-M40,D1,119,244,2828.954,3077,3139,0.109535871,0,15.32519805,109.5358707,1085.534862,2672.085814,1630.758254,93.81771884,56.97830045,56.97830045,6827.572209,0.367411799,104.6239482,17.73204005,4.297932146,26.18054667,1645.494022,1719.172858,0.474491709,3.708501452,37.52708754,63.85499188,0,-6.041664616,0.429793215,5.403114698,1.036415637,-5.845187718,0.550135315,36.93765684,0.259840698,0.233316316,2.053183585,0.618902229,-0.000520664,-0.015472556,0.000609078,0.054031147,80.06433597,4.961041677,6.680214535,2.077743197,0,0.776083747,0.001085535,0.29962727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
107,LL-M41,D1,122,247,2873,3085,3156,0.104657667,0,15.7607,119.136,1133.446666,2841.889999,1563.66,107.5533333,73.21899999,73.21899999,6908.233332,0.57086,107.5533333,23.579,6.204999999,30.69406666,2055.923333,2031.103333,0.59568,5.170833332,37.47819999,79.01033332,0,-5.088099999,0.253577667,0.616363333,0.860426667,-0.7446,0.500536667,36.23719999,0.467443333,0.52122,3.189369999,0.53363,0.001038303,0.005667233,0.016960333,0.047571667,82.31966665,5.088099999,6.990966665,2.709516666,0,0.860426667,0.004178033,0.325142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
108,LL-M42,D1,125,250,2916.977,3093,3174.046,0.153541274,0,17.9544232,124.649099,1283.638072,2876.835165,1617.961815,110.6157567,68.92847527,68.92847527,6851.572991,0.544823876,112.2667382,23.03119114,5.819709589,28.06668454,1944.03065,1811.952134,0.602608227,5.406964228,44.16375362,71.40494744,0,-4.994218867,0.255489378,3.306090341,0.399124764,-2.674589939,0.565461144,37.10580794,0.44576499,0.540696423,2.864452805,0.569588598,-0.000734687,-0.006480102,0.016757462,0.047878462,82.13632682,5.076767939,6.934122063,2.282481846,0,0.912167248,0.005695886,0.333085506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
109,LL-M43,D1,128,253,2964.977,3103,3199.023,0.302260779,0,13.93803058,131.2767996,1645.011748,3322.437521,1892.168686,105.7507552,83.06093803,83.06093803,6847.462696,0.457848097,121.9577675,23.50016783,4.983656282,29.53727991,1766.56434,1689.581032,0.542934912,3.468300632,42.94858259,32.57609472,0,-5.064691343,0.213932562,1.762512587,0.108181807,-7.657813311,0.77793659,37.96492631,0.197320375,0.193268622,2.386482561,0.57940069,-0.000911644,-0.008468164,0.004943139,0.062802173,85.49198987,5.064691343,7.171602942,1.762512587,0,1.04130054,0.001948893,0.282407189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
110,LL-M44,D1,131,256,3008.977,3119,3230,0.291414688,0,13.63571402,127.78612,1640.181601,3319.322385,1893.41629,154.6679562,74.02244756,74.02244756,6934.734561,0.557116316,127.3965282,27.42726478,4.714061134,26.49224439,3062.191778,3093.359124,0.642826518,3.502430545,41.68632573,20.72628532,0,-4.675101951,0.483093868,-4.051755024,0.506469378,-9.155407988,0.802559168,38.49167273,0.198691833,0.241157342,2.614161174,0.59217958,-0.000165187,-0.001055794,0.003724498,0.063113876,90.77489622,5.298448878,7.480163122,1.363571402,0,1.063585694,0.002847916,0.303492035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
111,LL-M45,D1,134,259,3054,3161,3422.023,0.25587246,0,12.11798022,115.5131208,1172.567151,3369.495938,1830.77399,142.9747306,59.28220538,59.28220538,6843.607533,0.710514667,139.0516435,22.84108502,6.102579966,25.76160543,2981.546212,2741.801999,0.810771338,4.838474116,42.93600905,25.54365614,0,-5.317962542,0.492565383,-1.490773106,1.778466162,5.841040825,0.745386553,37.00778851,0.431103685,0.448975526,2.855135627,0.632052925,-0.000863079,0.003992831,0.026502633,0.066256582,84.12842382,5.012833544,6.974377104,1.835132976,0,0.863079167,0.005056423,0.319513651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
112,LL-M48,D2,5,260,3062,3175,3461,0.167547742,0,13.37376599,72.12817613,988.0057459,3072.960837,1536.480419,103.3085856,57.10147277,57.10147277,6348.782169,0.432017722,110.4462697,20.36118305,4.770978317,20.24848278,1604.100584,1525.210391,0.405720991,3.474925152,40.19643149,35.83868751,0,-4.620711283,0.1773151,3.869376115,-0.69498503,-0.555988024,0.638634893,34.33601718,0.229908561,0.211125182,1.65293737,0.601068134,3.25E-06,0.010668959,0.002299086,0.058228476,78.13885747,4.808545075,6.686882995,1.6792341,0,0.792658602,0.001555264,0.26897799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
113,LL-M49,D2,8,263,3080,3215,3550,0.204126787,0,14.8865944,74.8088961,1041.30976,3210.391823,1541.288814,111.2735339,53.00529824,53.00529824,6804.226228,0.432312716,104.130976,19.7360153,5.037382953,19.20972156,1548.807296,1575.121983,0.454868162,3.612630611,40.59980291,37.5924101,0,-4.623866442,0.068418186,2.428469692,0.368781543,1.195438641,0.691700346,35.67519719,0.23006555,0.187210202,2.067582556,0.612756285,0.000402239,-0.011503277,0.001439789,0.063907097,80.82368172,4.962198133,6.954595869,0.981161904,0,0.830792263,0.000785681,0.277807911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
114,LL-M50,D2,11,266,3096.977,3253,3618.023,0.186726106,0,14.6773448,76.54088118,1072.413445,3280.323479,1661.189454,115.6524303,52.98984081,52.98984081,6686.813246,0.420554292,102.194693,15.30817624,4.626097214,19.26138658,1606.517396,1543.434252,0.47522635,3.684055599,41.34048692,44.15820068,0,-5.214873223,0.17537114,-0.786436526,-0.029144412,-6.98120125,0.693914582,35.83122569,0.230043198,0.212379918,1.29530722,0.622420352,-0.001488762,-0.011018522,0.003667233,0.062242035,82.84919556,5.004596077,7.065312109,1.265868419,0,0.773819898,0.001976605,0.272098627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
115,LL-M51,D2,14,269,3113,3291,3681.023,0.218415717,0,15.08735074,77.62968259,1074.535155,3390.268059,1758.728967,115.3480594,55.26180795,55.26180795,6885.796705,0.478058497,105.6991723,14.42947208,3.420969063,20.35038007,1600.838087,1521.892647,0.491216071,3.311322619,40.92005303,46.05150662,0,-5.482322217,0.304378529,-1.613995661,0.362271852,-0.868399839,0.719280675,35.61316512,0.189469056,0.018420603,1.407860345,0.640335235,-0.000278502,-0.018596037,0.002627129,0.07061231,82.89271192,4.956019284,6.929655282,1.289442185,0,0.793840257,0.000605248,0.291659542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
116,LL-M52,D2,17,272,3129,3329,3749.023,0.198410593,0,16.02923014,87.47659132,1138.661775,3420.872286,1910.80152,113.3774815,62.55309324,62.55309324,6792.874969,0.458396886,104.5809528,12.16853142,3.606576782,24.77688927,1510.070766,1441.653321,0.434939476,3.293811316,39.4377705,41.73464189,0,-6.157570115,0.348928973,1.519844687,0.405129018,-9.773920818,0.767252784,36.40785505,0.191568848,0.028588718,1.202192261,0.615757012,-0.001417219,-0.023897236,0.001104453,0.070860926,82.58963091,4.984699617,6.890614177,1.803288391,0,0.689061418,0.000503357,0.287841968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
117,LL-M53,D2,20,275,3144,3368,3800.046,0.22983219,0,18.17084824,102.4703086,1115.972186,3285.687627,1812.936228,134.8293534,60.56949413,60.56949413,6886.668511,0.539317414,94.17311759,19.20799711,4.028286219,23.48105046,2505.751675,2435.225552,0.526871627,3.18197274,39.49462905,37.75221895,0,-5.102772451,0.531020223,3.020177516,-0.539317414,-5.849519639,0.742598592,36.63209816,0.206185196,0.050198005,1.796341847,0.593249155,0.0001759,-0.019332455,0.002041109,0.068036966,82.55705022,4.812370767,6.637752782,0.210748651,0,0.775787356,0.000638884,0.27546674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
118,LL-M54,D2,23,278,3158,3405,3856.046,0.254041292,0,17.64055833,101.7890407,1168.84873,3756.705698,1807.186782,138.4503478,63.4024957,63.4024957,7202.868559,0.427859019,28.38016474,13.75877288,3.955108065,21.39295093,1660.541554,1647.602269,0.552076153,3.239134304,37.13574748,43.56225895,0,-5.348237733,0.087555827,6.038332924,0.05132583,-2.635301012,0.845366609,38.21402122,0.201852843,0.014362606,1.293928484,0.625398767,-0.001229232,-0.021910522,0.003364214,0.074185233,90.57499386,5.132582985,7.202868559,0.123354515,0,0.78498328,-4.18E-05,0.194951892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
119,LL-M55,D2,26,281,3173,3443,3899,0.211752273,0,17.60945072,111.9105279,1190.420812,3472.517851,2029.749771,131.1108636,68.5726274,68.5726274,7076.695147,0.48988285,100.9389075,7.460701861,3.801666463,22.21753128,1673.172108,1700.601159,0.486042783,3.209198962,41.52758315,33.40858407,0,-6.85726274,0.34450888,4.443506255,-0.294588007,-2.644160512,0.86675801,38.56524565,0.233146933,0.05376094,1.492140372,0.548581019,-0.001579913,0.030994828,0.041637299,0.079544248,85.57863899,5.014030515,6.912120842,1.409853219,0,1.058761367,0.003889439,0.292942264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
120,LL-M56,D2,29,284,3189,3480,3952,0.271947005,0,18.14396421,104.9545471,1164.273113,3450.327621,1869.635657,133.4239991,69.26150274,69.26150274,6798.675115,0.45891057,84.55852175,9.560636881,3.662786218,20.86343426,1699.668779,1712.416295,0.543894009,3.195377304,37.01028766,38.4125144,0,-5.141498056,0.467408914,-2.362539603,0.060763159,-0.07266084,0.909322797,36.50038702,0.180164891,0.008753294,1.036797955,0.599133245,-0.001291748,-0.014872102,0.005906349,0.073935592,81.15918419,4.759072581,6.756183396,0.514149806,0,0.794595154,-0.000192063,0.271947005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
121,LL-M57,D2,32,287,3207.977,3518,3998.023,0.327572393,0,17.41747947,107.8645937,1193.583618,3465.813173,1922.995829,148.0927823,78.68810521,78.68810521,6852.054105,0.499536848,87.08739733,10.12335736,4.372052587,24.53477438,1980.46467,1940.67855,0.490695488,3.090055367,34.70233853,57.46884088,0,-5.481643284,0.197162331,0.350559929,0.415543926,-7.647776517,0.963708255,37.13371257,0.202025079,0.004058184,1.348307421,0.610053849,-0.001078646,-0.021219264,0.00078246,0.079572241,87.52946534,4.951161676,6.984674507,0.804563772,0,0.813405132,0.000640999,0.28159732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
122,LL-M58,D2,35,290,3226,3556,4036,0.32905872,0,17.22719179,108.3958135,1209.774705,3276.0699,2100.168887,112.7510025,89.03941827,89.03941827,6726.347358,0.503266277,86.13595897,8.903941827,3.232518011,25.26009583,1935.639528,1882.409441,0.475683414,3.082505948,34.98668446,62.42437476,0,-6.048873524,0.356641583,0.827485898,0.53230087,-0.104524534,1.156544618,36.77715102,0.174691467,0.034115647,1.645293598,0.566174562,-0.000982337,-0.022743764,0.004374545,0.091458968,81.78077004,4.83425972,6.823129335,-0.213404258,0,0.842003194,-0.000163562,0.278732092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
