depth	min	max	median	mean
210.5	2501	2714	2661	2644
211.5	2521	2737	2674	2658
212.5	2536	2765	2683	2673
213.5	2548	2802	2693	2687
214.5	2560	2840	2703	2702
215.5	2577	2866	2715	2715
216.5	2598	2874	2726	2728
217.5	2614	2883	2737	2740
218.5	2629	2895	2748	2752
219.5	2635	2912	2759	2764
220.5	2649	2924	2771	2776
221.5	2661	2929	2783	2787
222.5	2670	2938	2794	2799
223.5	2681	2945	2806	2810
224.5	2693	2953	2819	2822
225.5	2705	2963	2830	2834
226.5	2724	2972	2843	2846
227.5	2736	2981	2859	2859
228.5	2748	2993	2872	2872
229.5	2758	3007	2884	2884
230.5	2775	3018	2897	2897
231.5	2791	3027	2910	2910
232.5	2806	3035	2924	2923
233.5	2819	3044	2939	2936
234.5	2830	3055	2952	2950
235.5	2846	3069	2964	2962
236.5	2864	3075	2976	2975
237.5	2878	3081	2988	2987
238.5	2885	3090	2999	3000
239.5	2893	3101	3010	3012
240.5	2901	3110	3019	3022
241.5	2913	3114	3027	3028
242.5	2921	3118	3034	3034
243.5	2931	3123	3041	3040
244.5	2939	3129	3047	3046
245.5	2952	3137	3054	3053
246.5	2961	3144	3061	3060
247.5	2972	3150	3069	3067
248.5	2982	3158	3077	3074
249.5	2988	3170	3085	3082
250.5	2999	3177	3091	3088
251.5	3007	3183	3097	3094
252.5	3015	3187	3104	3100
253.5	3022	3191	3110	3106
254.5	3029	3196	3117	3113
255.5	3038	3204	3127	3122
256.5	3049	3216	3138	3133
257.5	3059	3236	3148	3145
258.5	3065	3260	3156	3157
259.5	3070	3285	3165	3169
260.5	3078	3306	3176	3181
261.5	3093	3326	3189	3195
262.5	3102	3346	3202	3208
263.5	3108	3369	3215	3221
264.5	3114	3394	3228	3234
265.5	3126	3414	3239	3247
266.5	3137	3428	3250	3260
267.5	3144	3443	3262	3272
268.5	3152	3458	3275	3285
269.5	3158	3480	3288	3298
270.5	3168	3497	3300	3310
271.5	3179	3512	3312	3322
272.5	3187	3522	3324	3334
273.5	3194	3541	3336	3346
274.5	3199	3561	3348	3358
275.5	3207	3575	3361	3370
276.5	3221	3587	3376	3384
277.5	3232	3598	3390	3397
278.5	3242	3616	3405	3411
279.5	3249	3631	3419	3424
280.5	3256	3646	3433	3438
281.5	3264	3661	3446	3451
282.5	3277	3681	3458	3465
283.5	3288	3703	3471	3478
284.5	3299	3726	3484	3492
285.5	3308	3740	3496	3504
286.5	3319	3756	3509	3517
287.5	3330	3766	3523	3529
288.5	3339	3783	3535	3542
289.5	3346	3799	3546	3554
290.5	3365	3812	3559	3568
291.5	3378	3821	3575	3582
292.5	3391	3838	3589	3596
293.5	3402	3855	3603	3611
294.5	3412	3872	3617	3625
295.5	3428	3886	3632	3639
296.5	3440	3903	3646	3652
297.5	3455	3915	3660	3666
298.5	3468	3935	3672	3680
299.5	3477	3958	3685	3693
300.5	3490	3972	3699	3707
301.5	3501	3981	3713	3720
302.5	3511	3995	3725	3734
303.5	3522	4010	3741	3747
304.5	3532	4027	3753	3760
305.5	3547	4038	3766	3773
306.5	3560	4051	3779	3786
307.5	3571	4057	3793	3799
308.5	3582	4069	3806	3811
309.5	3596	4082	3818	3824
310.5	3606	4095	3831	3837
311.5	3618	4101	3844	3849
312.5	3628	4113	3857	3862
313.5	3636	4127	3870	3875
314.5	3645	4138	3882	3887
315.5	3659	4150	3895	3900
316.5	3670	4159	3907	3912
317.5	3680	4174	3916	3925
318.5	3695	4188	3929	3937
319.5	3703	4203	3941	3949
320.5	3715	4215	3955	3963
321.5	3730	4226	3970	3976
322.5	3743	4241	3985	3990
323.5	3751	4257	4000	4004
324.5	3762	4276	4014	4018
325.5	3778	4290	4028	4032
326.5	3792	4301	4041	4045
327.5	3806	4313	4054	4058
328.5	3819	4327	4067	4071
329.5	3833	4344	4081	4084
330.5	3844	4355	4096	4097
331.5	3861	4364	4111	4111
332.5	3877	4379	4126	4125
333.5	3893	4389	4138	4139
334.5	3904	4400	4156	4152
335.5	3920	4412	4170	4166
336.5	3935	4420	4182	4179
337.5	3952	4429	4195	4193
338.5	3965	4436	4208	4207
339.5	3973	4451	4221	4220
340.5	3990	4464	4236	4234
341.5	4011	4473	4250	4247
342.5	4026	4483	4264	4260
343.5	4042	4495	4280	4273
344.5	4056	4507	4293	4286
345.5	4070	4519	4305	4299
346.5	4086	4526	4318	4312
347.5	4093	4536	4331	4325
348.5	4106	4548	4343	4338
349.5	4115	4563	4355	4351
350.5	4124	4573	4368	4364
351.5	4148	4579	4382	4377
352.5	4167	4589	4398	4391
353.5	4179	4604	4409	4404
354.5	4187	4616	4423	4417
355.5	4201	4628	4436	4430
356.5	4221	4634	4448	4442
357.5	4231	4644	4461	4454
358.5	4247	4655	4474	4467
359.5	4254	4669	4487	4479
360.5	4270	4677	4500	4492
361.5	4287	4686	4512	4506
362.5	4303	4694	4527	4520
363.5	4319	4707	4544	4534
364.5	4330	4719	4559	4548
365.5	4346	4731	4573	4562
366.5	4362	4739	4586	4576
367.5	4380	4747	4598	4589
368.5	4395	4754	4611	4602
369.5	4408	4766	4623	4616
370.5	4432	4775	4636	4629
371.5	4469	4780	4647	4644
372.5	4501	4785	4660	4658
373.5	4529	4792	4672	4672
374.5	4550	4801	4687	4687
375.5	4568	4808	4702	4701
376.5	4591	4816	4715	4715
377.5	4604	4826	4731	4729
378.5	4616	4838	4749	4743
379.5	4624	4854	4765	4757
380.5	4639	4867	4779	4770
381.5	4655	4876	4791	4782
382.5	4668	4886	4804	4794
383.5	4677	4897	4817	4806
384.5	4687	4909	4829	4819
385.5	4703	4921	4841	4830
386.5	4723	4928	4851	4842
387.5	4739	4939	4861	4853
388.5	4750	4953	4870	4864
389.5	4764	4967	4880	4875
390.5	4782	4985	4893	4888
391.5	4809	5001	4909	4902
392.5	4834	5016	4927	4917
393.5	4849	5033	4941	4931
394.5	4855	5053	4953	4945
395.5	4876	5068	4966	4963
396.5	4900	5081	4984	4983
397.5	4922	5103	5004	5004
398.5	4942	5139	5025	5024
399.5	4958	5178	5044	5044
400.5	4969	5202	5060	5061
401.5	4980	5216	5072	5075
402.5	4987	5227	5083	5088
403.5	4993	5249	5097	5101
404.5	4996	5274	5109	5114
405.5	5005	5288	5121	5127
406.5	5014	5298	5135	5139
407.5	5023	5314	5149	5152
408.5	5029	5330	5160	5164
409.5	5034	5344	5173	5176
410.5	5043	5360	5186	5188
411.5	5061	5368	5197	5200
412.5	5070	5378	5209	5211
413.5	5076	5388	5220	5223
414.5	5081	5398	5232	5234
415.5	5090	5408	5243	5246
416.5	5106	5416	5255	5258
417.5	5119	5424	5268	5270
418.5	5127	5435	5281	5282
419.5	5137	5450	5292	5293
420.5	5151	5460	5304	5306
421.5	5168	5467	5315	5318
422.5	5183	5477	5328	5331
423.5	5195	5490	5342	5343
424.5	5208	5508	5356	5356
425.5	5220	5518	5370	5368
426.5	5232	5525	5383	5381
427.5	5248	5536	5395	5394
428.5	5263	5545	5408	5406
429.5	5272	5555	5420	5419
430.5	5283	5567	5433	5431
431.5	5299	5574	5443	5442
432.5	5311	5581	5455	5453
433.5	5322	5590	5467	5464
434.5	5330	5599	5479	5475
435.5	5346	5606	5491	5486
436.5	5366	5613	5503	5499
437.5	5382	5620	5516	5512
438.5	5396	5629	5530	5524
439.5	5407	5637	5544	5537
440.5	5430	5649	5556	5550
441.5	5456	5654	5565	5562
442.5	5479	5664	5576	5575
443.5	5498	5674	5587	5588
444.5	5507	5684	5599	5601
445.5	5515	5697	5615	5614
446.5	5527	5709	5628	5627
447.5	5539	5721	5641	5640
448.5	5555	5743	5653	5652
449.5	5568	5772	5663	5665
450.5	5583	5791	5675	5678
451.5	5591	5805	5687	5690
452.5	5604	5819	5699	5702
453.5	5610	5839	5710	5714
454.5	5613	5863	5720	5726
455.5	5624	5880	5732	5739
456.5	5633	5894	5746	5751
457.5	5643	5905	5758	5764
458.5	5651	5920	5770	5776
459.5	5658	5941	5783	5788
460.5	5670	5959	5796	5802
461.5	5685	5969	5810	5815
462.5	5695	5983	5825	5829
463.5	5702	5997	5838	5843
464.5	5711	6021	5852	5857
465.5	5722	6036	5865	5870
466.5	5737	6046	5879	5882
467.5	5747	6057	5891	5895
468.5	5756	6067	5906	5907
469.5	5762	6084	5919	5920
470.5	5771	6099	5932	5932
471.5	5784	6109	5943	5944
472.5	5796	6118	5957	5956
473.5	5807	6129	5969	5968
474.5	5814	6143	5981	5981
475.5	5826	6156	5993	5993
476.5	5842	6167	6005	6006
477.5	5853	6175	6020	6018
478.5	5866	6186	6034	6031
479.5	5874	6198	6048	6044
480.5	5885	6213	6062	6057
481.5	5899	6220	6073	6069
482.5	5915	6227	6085	6082
483.5	5924	6239	6099	6094
484.5	5934	6258	6111	6107
485.5	5949	6271	6123	6120
486.5	5969	6278	6134	6132
487.5	5984	6285	6147	6145
488.5	6001	6296	6160	6158
489.5	6009	6307	6173	6170
490.5	6028	6318	6186	6183
491.5	6051	6327	6198	6195
492.5	6070	6334	6210	6208
493.5	6086	6342	6223	6220
494.5	6096	6350	6236	6233
495.5	6115	6359	6247	6245
496.5	6138	6364	6257	6256
497.5	6161	6369	6266	6268
498.5	6176	6376	6275	6279
499.5	6187	6384	6286	6291
500.5	6202	6392	6296	6303
501.5	6218	6401	6308	6316
502.5	6225	6420	6323	6328
503.5	6232	6446	6338	6341
504.5	6238	6470	6351	6354
505.5	6249	6486	6365	6366
506.5	6261	6498	6376	6378
507.5	6270	6512	6389	6389
508.5	6278	6524	6401	6401
509.5	6286	6543	6412	6413
510.5	6299	6560	6424	6425
511.5	6318	6569	6437	6438
512.5	6332	6578	6449	6451
513.5	6343	6594	6462	6464
514.5	6352	6608	6475	6477
515.5	6367	6623	6489	6491
516.5	6385	6632	6502	6504
517.5	6401	6640	6516	6517
518.5	6413	6655	6530	6531
519.5	6422	6675	6543	6544
520.5	6437	6692	6558	6559
521.5	6452	6706	6574	6574
522.5	6463	6723	6590	6589
523.5	6474	6742	6605	6605
524.5	6482	6766	6620	6620
525.5	6495	6786	6635	6636
526.5	6511	6800	6651	6652
527.5	6523	6820	6666	6667
528.5	6531	6847	6681	6683
529.5	6539	6877	6698	6699
530.5	6551	6902	6713	6715
531.5	6570	6916	6728	6731
532.5	6582	6931	6745	6748
533.5	6590	6954	6761	6764
534.5	6600	6984	6776	6780
535.5	6613	7005	6791	6796
536.5	6628	7012	6806	6812
537.5	6643	7024	6823	6828
538.5	6656	7042	6839	6844
539.5	6666	7062	6856	6860
540.5	6683	7080	6874	6875
541.5	6696	7092	6890	6891
542.5	6713	7107	6909	6906
543.5	6725	7121	6924	6921
544.5	6735	7137	6939	6937
545.5	6748	7154	6956	6953
546.5	6766	7166	6973	6969
547.5	6784	7182	6990	6985
548.5	6796	7198	7004	7002
549.5	6809	7219	7020	7018
550.5	6821	7236	7037	7034
551.5	6843	7248	7053	7050
552.5	6858	7255	7071	7066
553.5	6871	7268	7088	7082
554.5	6879	7289	7105	7098
555.5	6895	7303	7121	7113
556.5	6914	7310	7137	7129
557.5	6925	7320	7153	7144
558.5	6941	7330	7169	7159
559.5	6955	7347	7186	7175
560.5	6971	7359	7202	7190
561.5	6995	7367	7217	7206
562.5	7016	7374	7233	7222
563.5	7034	7387	7249	7237
564.5	7050	7404	7265	7253
565.5	7073	7415	7281	7269
566.5	7105	7422	7295	7286
567.5	7128	7429	7312	7302
568.5	7147	7438	7329	7319
569.5	7167	7451	7346	7336
570.5	7194	7464	7363	7352
571.5	7226	7470	7377	7369
572.5	7254	7476	7393	7385
573.5	7273	7483	7408	7402
574.5	7293	7493	7423	7418
575.5	7308	7502	7433	7430
576.5	7324	7506	7439	7438
577.5	7337	7510	7448	7446
578.5	7347	7515	7457	7454
579.5	7356	7523	7465	7462
580.5	7363	7531	7472	7469
581.5	7376	7535	7479	7475
582.5	7386	7540	7486	7481
583.5	7394	7547	7492	7488
584.5	7401	7555	7498	7494
585.5	7411	7562	7503	7500
586.5	7421	7570	7509	7506
587.5	7431	7575	7515	7511
588.5	7440	7582	7521	7517
589.5	7446	7591	7528	7523
590.5	7460	7607	7535	7532
591.5	7474	7624	7546	7543
592.5	7485	7637	7557	7554
593.5	7492	7649	7565	7564
594.5	7497	7666	7574	7575
595.5	7510	7691	7589	7592
596.5	7523	7724	7609	7613
597.5	7532	7768	7628	7634
598.5	7542	7819	7647	7655
599.5	7549	7876	7664	7676
600.5	7563	7912	7683	7698
601.5	7579	7932	7705	7719
602.5	7589	7966	7727	7741
603.5	7600	8005	7748	7762
604.5	7609	8042	7769	7784
605.5	7623	8072	7790	7805
606.5	7635	8085	7813	7825
607.5	7646	8109	7836	7846
608.5	7655	8147	7856	7867
609.5	7663	8184	7877	7887
610.5	7680	8208	7897	7907
611.5	7695	8226	7917	7927
612.5	7711	8241	7938	7947
613.5	7721	8260	7957	7967
614.5	7729	8288	7975	7988
615.5	7748	8319	7996	8008
616.5	7772	8340	8019	8028
617.5	7789	8359	8041	8049
618.5	7801	8387	8062	8069
619.5	7808	8409	8084	8089
620.5	7830	8425	8104	8110
621.5	7857	8444	8124	8130
622.5	7883	8468	8144	8151
623.5	7901	8486	8165	8171
624.5	7912	8510	8187	8192
625.5	7937	8530	8207	8213
626.5	7957	8546	8231	8235
627.5	7974	8563	8254	8257
628.5	7991	8588	8277	8280
629.5	8007	8613	8300	8302
630.5	8026	8634	8321	8323
631.5	8046	8648	8342	8343
632.5	8067	8665	8360	8362
633.5	8084	8686	8381	8382
634.5	8099	8711	8400	8402
635.5	8114	8728	8419	8422
636.5	8147	8738	8440	8442
637.5	8164	8752	8462	8463
638.5	8173	8768	8486	8483
639.5	8189	8785	8507	8504
640.5	8224	8807	8526	8525
641.5	8255	8818	8549	8546
642.5	8275	8835	8567	8567
643.5	8294	8850	8593	8588
644.5	8315	8871	8616	8609
645.5	8335	8888	8638	8630
646.5	8355	8898	8659	8651
647.5	8378	8911	8681	8671
648.5	8397	8927	8702	8692
649.5	8420	8947	8724	8712
650.5	8446	8966	8745	8733
651.5	8483	8973	8765	8753
652.5	8515	8984	8786	8774
653.5	8536	8994	8808	8795
654.5	8552	9010	8830	8816
655.5	8582	9023	8851	8837
656.5	8620	9033	8872	8857
657.5	8649	9042	8892	8878
658.5	8675	9054	8914	8899
659.5	8693	9069	8936	8920
660.5	8730	9085	8955	8941
661.5	8765	9092	8972	8962
662.5	8794	9099	8990	8983
663.5	8817	9109	9007	9004
664.5	8847	9119	9024	9026
665.5	8863	9135	9040	9043
666.5	8878	9158	9062	9058
667.5	8890	9186	9076	9072
668.5	8909	9214	9088	9086
669.5	8931	9246	9100	9101
670.5	8945	9267	9113	9115
671.5	8960	9277	9129	9129
672.5	8977	9291	9145	9143
673.5	8991	9305	9159	9157
674.5	9010	9327	9173	9172
675.5	9025	9343	9188	9186
676.5	9040	9353	9207	9201
677.5	9056	9365	9224	9215
678.5	9071	9383	9242	9230
679.5	9082	9403	9258	9244
680.5	9095	9420	9273	9258
681.5	9109	9430	9287	9270
682.5	9122	9441	9301	9282
683.5	9128	9454	9313	9294
